date,open,close,low,high,vix,rsi60,rsi14,ma60,ma240,roc7,ccs,tier,tier_label,recovery_pct,exit_stage,exit_stage_label,target_alloc,ret,strat_value,bh_value,exposure,cs_value,cs_exposure,cs2_value,cs2_exposure,year
2000-01-03,4186.18994140625,4131.14990234375,3989.7099609375,4192.18994140625,24.209999084472656,71.64834320647486,86.70342290925208,3322.0068237304686,2755.657126871745,4.923420900404096,0.0,0,觀望,0.0,0,持有／續抱,0.0,0.0,1.0,1.0,0.0,1.0,0.7,1.0,0.7,2000
2000-01-04,4020.0,3901.68994140625,3898.22998046875,4073.25,27.010000228881836,65.06830198400371,60.74188658881362,3338.92548828125,2762.168835449219,-1.7067898998365583,50.0,1,試單 10-20%,-5.55438476844714,0,持有／續抱,0.1,-0.055543847684471404,1.0,0.9444561523155286,0.1,0.96111930662087,0.73,0.96111930662087,0.73,2000
2000-01-05,3854.35009765625,3877.5400390625,3734.8701171875,3924.2099609375,26.40999984741211,64.43494057684947,58.748089130367276,3354.9519897460937,2768.453127034505,-2.4611445103148277,50.0,1,試單 10-20%,-6.138965403733421,0,持有／續抱,0.1,-0.006189600584982857,0.9993810399415017,0.9386103459626658,0.1,0.9567765770464458,0.73,0.9567765770464458,0.73,2000
2000-01-06,3834.43994140625,3727.1298828125,3715.6201171875,3868.760009765625,25.729999542236328,60.69312284004683,48.14784070646091,3369.196988932292,2773.843626912435,-6.16750840193554,50.0,1,試單 10-20%,-0.20724239751686024,2,加碼確認／趨勢站穩,0.1,-0.038790097519242006,0.9955044311416805,0.9022015591102045,0.1,0.9296837536351824,0.73,0.9296837536351824,0.7,2000
2000-01-07,3711.090087890625,3882.6201171875,3711.090087890625,3882.669921875,21.719999313354492,62.954739744599046,56.82146889488351,3387.219490559896,2779.9914611816407,-3.9302589976210944,50.0,1,試單 10-20%,4.494539127600827,2,加碼確認／趨勢站穩,0.1,0.04171849097398961,0.9996575254041956,0.9398400467106629,0.1,0.9579968060330092,0.73,0.9568332559344682,0.7,2000
2000-01-10,4002.22998046875,4049.669921875,3958.830078125,4072.360107421875,21.709999084472656,65.14576862810024,63.82301377114388,3407.933321126302,2786.542835489909,0.317072492201409,50.0,1,試單 10-20%,9.123460384030269,2,加碼確認／趨勢站穩,0.1,0.043025019096771144,1.0039585538162703,0.9802766826682995,0.1,0.9880858225711869,0.73,0.9856506943107726,0.7,2000
2000-01-11,4031.3798828125,3921.18994140625,3904.820068359375,4066.659912109375,22.5,62.265381671871545,56.26606114422596,3427.755985514323,2792.4399190266927,-3.6399319554108023,50.0,1,試單 10-20%,5.661405369844985,2,加碼確認／趨勢站穩,0.1,-0.03172603766414217,1.000773391127109,0.9491763877126846,0.1,0.9652017475149091,0.73,0.9637611405747986,0.7,2000
2000-01-12,3950.949951171875,3850.02001953125,3834.530029296875,3950.97998046875,22.84000015258789,60.75221418917332,52.55395403324115,3447.1038208007812,2798.0229604085284,-6.805124225896641,50.0,1,試單 10-20%,3.7436421199786185,2,加碼確認／趨勢站穩,0.1,-0.018150082739801232,0.9989569791418342,0.9319487577410338,0.1,0.9524132486629717,0.73,0.9515164994648121,0.7,2000
2000-01-13,3915.139892578125,3957.2099609375,3858.219970703125,3957.469970703125,21.709999084472656,62.16066168493804,57.140285954493564,3468.2543212890623,2804.247085571289,1.4229736438575058,50.0,1,試單 10-20%,6.632010196949145,2,加碼確認／趨勢站穩,0.1,0.02784139845052036,1.001738215070956,0.9578955144407694,0.1,0.9717703058872453,0.73,0.970060584460503,0.7,2000
2000-01-14,4045.719970703125,4064.27001953125,4045.719970703125,4091.949951171875,19.65999984741211,63.49140207257591,61.176871097616825,3489.5233235677083,2810.79233601888,4.815681555512619,0.0,0,觀望,9.516878417828224,2,加碼確認／趨勢站穩,0.0,0.02705442967407934,1.0044483606801033,0.9838108312713232,0.0,0.9909625106092345,0.73,0.9884316895638212,0.7,2000
